"","Node1","Node2","Weight"
"24324","Capnocytophaga_leadbetteri","Capnocytophaga_gingivalis",1
"24330","Prevotella_shahii","Capnocytophaga_gingivalis",1
"24381","Fusobacterium_periodonticum","Capnocytophaga_gingivalis",1
"24382","Campylobacter_showae","Capnocytophaga_gingivalis",1
"24384","Capnocytophaga_granulosa","Capnocytophaga_gingivalis",1
"24481","Parvimonas_micra","Capnocytophaga_gingivalis",1
"24504","Porphyromonas_catoniae","Capnocytophaga_gingivalis",1
"24506","Lachnoanaerobaculum_umeaense","Capnocytophaga_gingivalis",1
"24545","Capnocytophaga_leadbetteri","Prevotella_loescheii",1
"24649","Capnocytophaga_ochracea","Prevotella_loescheii",1
"24702","Parvimonas_micra","Prevotella_loescheii",1
"24704","Fusobacterium_nucleatum","Prevotella_loescheii",1
"24991","Prevotella_pallens","Prevotella_oulorum",1
"25010","Prevotella_salivae","Prevotella_oulorum",1
"25041","Lachnoanaerobaculum_saburreum","Prevotella_oulorum",1
"25072","Actinomyces_graevenitzii","Prevotella_oulorum",1
"25075","Atopobium_parvulum","Prevotella_oulorum",1
"25121","Leptotrichia_goodfellowii","Prevotella_oulorum",1
"25130","Campylobacter_concisus","Prevotella_oulorum",1
"25132","Megasphaera_micronuciformis","Prevotella_oulorum",1
"25138","Veillonella_atypica","Prevotella_oulorum",1
"25157","Alloscardovia_omnicolens","Prevotella_oulorum",1
"25166","Leptotrichia_wadei","Prevotella_oulorum",1
"25189","Prevotella_histicola","Prevotella_oulorum",1
"25533","Dialister_pneumosintes","Atopobium_rimae",1
"25582","Cryptobacterium_curtum","Atopobium_rimae",1
"25894","Treponema_denticola","Treponema_maltophilum",1
"25982","Treponema_lecithinolyticum","Treponema_maltophilum",1
"25996","Capnocytophaga_ochracea","Treponema_maltophilum",1
"26046","Prevotella_nigrescens","Treponema_maltophilum",1
"26051","Fusobacterium_nucleatum","Treponema_maltophilum",1
"26698","Haemophilus_influenzae","Haemophilus_haemolyticus",1
"26756","Streptococcus_mitis","Haemophilus_haemolyticus",1
"27295","Prevotella_salivae","Stomatobaculum_longum",1
"27326","Lachnoanaerobaculum_saburreum","Stomatobaculum_longum",1
"27357","Actinomyces_graevenitzii","Stomatobaculum_longum",1
"27360","Atopobium_parvulum","Stomatobaculum_longum",1
"27390","Actinomyces_lingnae","Stomatobaculum_longum",1
"27410","Oribacterium_sinus","Stomatobaculum_longum",1
"27415","Campylobacter_concisus","Stomatobaculum_longum",1
"27417","Megasphaera_micronuciformis","Stomatobaculum_longum",1
"27423","Veillonella_atypica","Stomatobaculum_longum",1
"27451","Leptotrichia_wadei","Stomatobaculum_longum",1
"27474","Prevotella_histicola","Stomatobaculum_longum",1
