"","Node1","Node2","Weight"
"18465","Dialister_pneumosintes","Prevotella_nigrescens",1
"18469","Mycoplasma_salivarium","Prevotella_nigrescens",1
"18481","Selenomonas_sputigena","Prevotella_nigrescens",1
"18483","Bulleidia_extructa","Prevotella_nigrescens",1
"18485","Alloprevotella_tannerae","Prevotella_nigrescens",1
"18490","Prevotella_maculosa","Prevotella_nigrescens",1
"18500","Treponema_medium","Prevotella_nigrescens",1
"18503","Prevotella_dentasini","Prevotella_nigrescens",1
"18504","Selenomonas_bovis","Prevotella_nigrescens",1
"18508","Solobacterium_moorei","Prevotella_nigrescens",1
"18580","Corynebacterium_jeikeium","Corynebacterium_matruchotii",1
"18610","Leptotrichia_hofstadii","Corynebacterium_matruchotii",1
"18618","Capnocytophaga_granulosa","Corynebacterium_matruchotii",1
"18621","Leptotrichia_hongkongensis","Corynebacterium_matruchotii",1
"18666","Capnocytophaga_ochracea","Corynebacterium_matruchotii",1
"18739","Eubacterium_yurii","Eikenella_corrodens",1
"18931","Eubacterium_brachy","Parvimonas_micra",1
"18983","Porphyromonas_gingivalis","Parvimonas_micra",1
"19003","Tannerella_forsythia","Parvimonas_micra",1
"19028","Alloprevotella_rava","Parvimonas_micra",1
"19064","Alloprevotella_tannerae","Parvimonas_micra",1
"19102","Campylobacter_gracilis","Parvimonas_micra",1
"19131","Prevotella_denticola","Scardovia_wiggsiae",1
"19147","Prevotella_salivae","Scardovia_wiggsiae",1
"19156","Prevotella_veroralis","Scardovia_wiggsiae",1
"19226","Atopobium_parvulum","Scardovia_wiggsiae",1
"19240","Selenomonas_flueggei","Scardovia_wiggsiae",1
"19268","Veillonella_parvula","Scardovia_wiggsiae",1
"19288","Megasphaera_micronuciformis","Scardovia_wiggsiae",1
"19303","Prevotella_nigrescens","Scardovia_wiggsiae",1
"19314","Leptotrichia_buccalis","Fusobacterium_nucleatum",1
"19317","Prevotella_baroniae","Fusobacterium_nucleatum",1
"19321","Treponema_denticola","Fusobacterium_nucleatum",1
"19322","Eubacterium_brachy","Fusobacterium_nucleatum",1
"19323","Porphyromonas_endodontalis","Fusobacterium_nucleatum",1
"19324","Eubacterium_yurii","Fusobacterium_nucleatum",1
"19327","Prevotella_denticola","Fusobacterium_nucleatum",1
"19328","Haemophilus_haemoglobinophilus","Fusobacterium_nucleatum",1
"19329","Prevotella_scopos","Fusobacterium_nucleatum",1
"19332","Dialister_invisus","Fusobacterium_nucleatum",1
"19334","Prevotella_enoeca","Fusobacterium_nucleatum",1
"19346","Eubacterium_nodatum","Fusobacterium_nucleatum",1
"19349","Anaeroglobus_geminatus","Fusobacterium_nucleatum",1
"19350","Olsenella_uli","Fusobacterium_nucleatum",1
"19352","Prevotella_veroralis","Fusobacterium_nucleatum",1
"19353","Dialister_propionicifaciens","Fusobacterium_nucleatum",1
"19355","Mycoplasma_faucium","Fusobacterium_nucleatum",1
"19357","Prevotella_dentalis","Fusobacterium_nucleatum",1
"19359","Peptococcus_niger","Fusobacterium_nucleatum",1
"19361","Campylobacter_curvus","Fusobacterium_nucleatum",1
"19363","Schwartzia_succinivorans","Fusobacterium_nucleatum",1
"19365","Prevotella_marshii","Fusobacterium_nucleatum",1
"19366","Treponema_parvum","Fusobacterium_nucleatum",1
"19374","Porphyromonas_gingivalis","Fusobacterium_nucleatum",1
"19379","Filifactor_alocis","Fusobacterium_nucleatum",1
"19384","Lachnoanaerobaculum_saburreum","Fusobacterium_nucleatum",1
"19385","Brachymonas_denitrificans","Fusobacterium_nucleatum",1
"19393","Campylobacter_showae","Fusobacterium_nucleatum",1
"19394","Tannerella_forsythia","Fusobacterium_nucleatum",1
"19401","Slackia_exigua","Fusobacterium_nucleatum",1
"19408","Prevotella_pleuritidis","Fusobacterium_nucleatum",1
"19414","Selenomonas_ruminantium","Fusobacterium_nucleatum",1
"19417","Prevotella_oralis","Fusobacterium_nucleatum",1
"19419","Alloprevotella_rava","Fusobacterium_nucleatum",1
"19425","Treponema_amylovorum","Fusobacterium_nucleatum",1
"19428","Shuttleworthia_satelles","Fusobacterium_nucleatum",1
"19433","Treponema_socranskii","Fusobacterium_nucleatum",1
"19435","Dialister_pneumosintes","Fusobacterium_nucleatum",1
"19436","Selenomonas_flueggei","Fusobacterium_nucleatum",1
"19437","Peptostreptococcus_stomatis","Fusobacterium_nucleatum",1
"19439","Mycoplasma_salivarium","Fusobacterium_nucleatum",1
"19443","Leptotrichia_shahii","Fusobacterium_nucleatum",1
"19445","Prevotella_ruminicola","Fusobacterium_nucleatum",1
"19448","Prevotella_intermedia","Fusobacterium_nucleatum",1
"19451","Selenomonas_sputigena","Fusobacterium_nucleatum",1
"19453","Bulleidia_extructa","Fusobacterium_nucleatum",1
"19455","Alloprevotella_tannerae","Fusobacterium_nucleatum",1
"19460","Prevotella_maculosa","Fusobacterium_nucleatum",1
"19465","Actinomyces_cardiffensis","Fusobacterium_nucleatum",1
"19470","Treponema_medium","Fusobacterium_nucleatum",1
"19471","Selenomonas_infelix","Fusobacterium_nucleatum",1
"19477","Oribacterium_sinus","Fusobacterium_nucleatum",1
"19478","Solobacterium_moorei","Fusobacterium_nucleatum",1
"19484","Megasphaera_micronuciformis","Fusobacterium_nucleatum",1
"19488","Gemella_morbillorum","Fusobacterium_nucleatum",1
"19493","Campylobacter_gracilis","Fusobacterium_nucleatum",1
"19495","Phocaeicola_abscessus","Fusobacterium_nucleatum",1
