,Axis1,Axis2,Axis3,CS,HS,SS,sHACK,cluster,cx,cy,cluster_factor,High_sHACK,Module2
Leptotrichia_sp_oral_taxon_215,-4.24249008783688,-7.40816700782025,-7.96810416110305,0.505479452054794,0.355597061613287,0.749168511727818,0.674698795180723,4,-3.60854994020313,-2.09522479612292,4,FALSE,FALSE
Lachnoanaerobaculum_orale,-0.460772275257736,5.74802143017697,-16.7977735033455,0.845205479452055,0.213770156000888,0.781547767569737,0.672690763052209,1,0.234670503340864,11.7573950781623,1,FALSE,FALSE
Dialister_succinatiphilus,-8.61222648695693,5.81992399747567,3.06128772087389,0.423287671232877,0.581854856612379,0.390283659887038,0.670682730923695,5,-16.9737184673674,2.78799675236001,5,FALSE,FALSE
Mycoplasma_faucium,9.4567762928927,0.865101547124798,4.00149671529503,0.505479452054794,0.488877015600089,0.355193433123164,0.668674698795181,3,15.7200397767724,5.68151935062429,3,FALSE,FALSE
Treponema_medium,26.6253742868043,6.01657063878804,11.4760973974803,0.83013698630137,0.38014288309015,0.437883780471918,0.666666666666667,3,15.7200397767724,5.68151935062429,3,FALSE,FALSE
Prevotella_jejuni,-3.97365555992422,0.141110429902764,-13.0677090738071,0.591780821917808,0.302428608907994,0.736526904155935,0.664658634538153,4,-3.60854994020313,-2.09522479612292,4,FALSE,FALSE
Actinomyces_gerencseriae,8.57190579709585,3.38633670675486,-2.93900348238557,0.552054794520548,0.524816451736595,0.313104068304692,0.662650602409639,3,15.7200397767724,5.68151935062429,3,FALSE,FALSE
Rothia_mucilaginosa,-3.09530869754764,-7.18455251921448,-8.65856647046687,0.958904109589041,0.648956428729995,0.248437642328803,0.660642570281124,4,-3.60854994020313,-2.09522479612292,4,FALSE,FALSE
Parvimonas_micra,19.8611896946837,-3.97575484563509,7.86995303251854,0.932876712328767,0.37955671933967,0.385468693267624,0.65863453815261,3,15.7200397767724,5.68151935062429,3,FALSE,FALSE
Eikenella_corrodens,20.7266168713462,-13.9580964529092,11.7264045653625,0.797260273972603,0.299139976993401,0.544520582941109,0.656626506024096,2,6.72843344989611,-10.8417605202732,2,FALSE,TRUE
Slackia_exigua,11.8710516561713,11.4868677449458,-4.32077447453508,0.552054794520548,0.294101430849024,0.794564672337108,0.654618473895582,3,15.7200397767724,5.68151935062429,3,FALSE,FALSE
Actinomyces_hyovaginalis,-1.26375410816641,-0.752189382872844,-5.36338419292957,0.423287671232877,0.351173639280741,0.522369660776203,0.652610441767068,4,-3.60854994020313,-2.09522479612292,4,FALSE,FALSE
Prevotella_buccae,18.3773777963438,8.14810911806691,5.96988885147424,0.552054794520548,0.431808237977034,0.343276131700043,0.650602409638554,3,15.7200397767724,5.68151935062429,3,FALSE,FALSE
Streptococcus_oligofermentans,0.458508711619983,-5.27953043556855,-2.62148970413556,0.552054794520548,0.531190187887227,0.269699030412945,0.64859437751004,4,-3.60854994020313,-2.09522479612292,4,FALSE,FALSE
Mogibacterium_timidum,18.1075476989217,8.85911231790266,4.68652718386766,0.552054794520548,0.447279772355755,0.308988617844526,0.646586345381526,3,15.7200397767724,5.68151935062429,3,FALSE,FALSE
Selenomonas_sputigena,24.6690908301258,14.1956160411073,-2.27776209089298,0.882191780821918,0.0893065730257714,0.94895437913113,0.644578313253012,3,15.7200397767724,5.68151935062429,3,FALSE,FALSE
